BIC;Name
BFOMDE51;BANK FUER ORDEN UND MISSION
BFSWDE33;BANK FUER SOZIALWIRTSCHAFT AG
BFWODE71;BFW-BANK FUER WOHNUNGSWIRTSCHAFT
BHBADES1;BANKHAUS BAUER AG
BHFBDEFF;ODDO BHF AKTIENGESELLSCHAFT
BHLSDEMM;BANKHAUS LUDWIG SPERRER KG
BHLSDEM1;BANKHAUS LUDWIG SPERRER KG
BHWBDE2H;BHW BAUSPARKASSE
BHYPDEB1;BERLIN HYP AG
BHYPDEB2;BERLIN HYP AG
BILADE55;KREISSPARKASSE BIRKENFELD (BIRKENFELDER LANDESBANK)
BIWBDE33;FLATEX BANK AG
BIWBDE33XXX;FLATEX BANK AG
BIWBDE33303;FLATEX BANK AG
BIWBDE33760;FLATEX BANK AG
BKCHDEFF;BANK OF CHINA
BKMADE61;BANKHAUS E. MAYER AKTIENGESELLSCHAFT
BKMZDE51;BAUSPARKASSE MAINZ AKTIENGESELLSCHAFT
BMWBDEMU;BMW BANK GMBH
BMWBDEM1;BMW BANK GMBH
BNPADEFF;BNP PARIBAS S.A. NIEDERLASSUNG FRANKFURT AM MAIN
BNYMDEF1;BANK OF NEW YORK MELLON SA/NV
BOFADEFX;BANK OF AMERICA, N.A.
BOFSDEB1;LLOYDS BANK GMBH
BOFSDEF1;LLOYDS BANK GMBH
BOTKDEDX;MUFG BANK (EUROPE) N.V. GERMANY BRANCH
BOURDEFF;COMDIRECT BANK AG UND GF ONVISTA BANK
BPKODEFF;PKO BANK POLSKI S.A. NIEDERLASSUNG DEUTSCHLAND
BPNDDE52;BANQUE PSA FINANCE S.A. NIEDERLASSUNG DEUTSCHLAND
BRASDEFF;BANCO DO BRASIL S.A.
BRLADE21ANO;SPARKASSE AURICH-NORDEN
BRLADE21BRK;WESER-ELBE SPARKASSE
BRLADE21BRS;WESER-ELBE SPARKASSE
BRLADE21CUX;STADTSPARKASSE CUXHAVEN
BRLADE21DHZ;KREISSPARKASSE GRAFSCHAFT DIEPHOLZ
BRLADE21EMD;STADTSPARKASSE EMDEN
BRLADE21LER;SPARKASSE LEERWITTMUND
BRLADE21LZO;LANDESSPARKASSE ZU OLDENBURG
BRLADE21OHZ;KREISSPARKASSE OSTERHOLZ
BRLADE21ROB;SPARKASSE ROTENBURG OSTERHOLZ
BRLADE21SHL;ZWECKVERBANDSSPARKASSE SCHEESSEL
BRLADE21SYK;KREISSPARKASSE SYKE
BRLADE21VER;KREISSPARKASSE VERDEN
BRLADE21WHV;SPARKASSE DER STADT WILHELMSHAVEN
BRLADE21WTM;SPARKASSE LEERWITTMUND (FORMERLY KREISSPARKASSE WITTMUND)
BRLADE22;NORDDEUTSCHE LANDESBANK - GIROZENTRALE
BRUSDE66;SPARKASSE KRAICHGAU BRUCHSAL-BRETTEN-SINSHEIM
BSCHDEFF;BANCO SANTANDER S.A.
BSHADE71;BANK SCHILLING AND CO AKTIENGESELLSCHAFT
BSUIDEFF;CREDIT AGRICOLE CIB
BTVADE61;BANK FUER TIROL UND VORARLBERG AKTIENGESELLSCHAFT, ZWEIGNIEDERLASSUNG
BVDHDEMM;BANKHAUS VON DER HEYDT GMBH UND CO. KG
BVWBDE2W;NET-M PRIVATBANK 1891 AG
BYLADEMM;BAYERISCHE LANDESBANK, MUENCHEN
BYLADEM1ABG;SPARKASSE AMBERG-SULZBACH
BYLADEM1AIC;SPARKASSE AICHACH - SCHROBENHAUSEN
BYLADEM1ALG;SPARKASSE ALLGAEU
BYLADEM1ALR;SPARKASSE ALLGAEU IN RIEZLERN
